date,depth below ground(m)
17/05/2005,36.12
22/06/2005,39.23
20/07/2005,40.72
23/08/2005,41.88
22/09/2005,41.68
20/10/2005,41.64
15/11/2005,40.98
12/12/2005,39.51
10/01/2006,39.39
16/02/2006,38.45
13/03/2006,38.36
11/04/2006,37.79
10/05/2006,38.08
13/06/2006,38.66
17/07/2006,40.83
11/08/2006,42.25
12/09/2006,40.53
18/10/2006,39.68
16/11/2006,38.53
15/12/2006,36.55
18/01/2007,33.58
14/02/2007,31.03
12/03/2007,32.17
16/04/2007,32
18/05/2007,35.36
18/06/2007,36.49
25/07/2007,32.82
13/08/2007,33.38
13/09/2007,33.38
19/10/2007,35.74
21/11/2007,35.67
18/12/2007,36.16
15/01/2008,34.89
15/02/2008,30.1
18/03/2008,32.45
10/04/2008,32.93
13/05/2008,33.37
17/06/2008,36.1
10/07/2008,38.14
14/08/2008,39.62
16/09/2008,39.98
14/10/2008,39.39
17/11/2008,37.57
11/12/2008,35.26
16/01/2009,33.54
20/02/2009,33.69
13/03/2009,31.12
27/04/2009,34.16
20/05/2009,36.37
19/06/2009,38.47
28/07/2009,40.72
09/09/2009,41.16
20/10/2009,43.81
17/12/2009,42.85
20/01/2010,37.5
05/02/2010,34.6
02/03/2010,31.4
06/04/2010,30
04/05/2010,32.7
09/06/2010,33.24
11/10/2010,40.95
03/11/2010,39.7
06/12/2010,38.27
